segment_id,segment_name,lifecycle_stage,primary_theme,secondary_theme,tertiary_theme,primary_tone,secondary_tone,theme_rationale,primary_hook,secondary_hook,avoided_tones,north_star_alignment,churn_risk_adaptation
SEG_00_PAI_HIG,Moderately Active Users,paid,Loss Avoidance,Empowerment,Ownership,Encouragement,Empowerment,Generated from segment-level behavioral signals.,Build momentum with one step today,Consistent effort creates visible progress,"['Fear/Anxiety', 'Shame/Guilt']",Supports recurring engagement and sustained progress.,Adjusted for churn label high.
SEG_00_PAI_LOW,Moderately Active Users,paid,Accomplishment,Ownership,Ownership,Accomplishment,Empowerment,Generated from segment-level behavioral signals.,Build momentum with one step today,Consistent effort creates visible progress,"['Fear/Anxiety', 'Shame/Guilt']",Supports recurring engagement and sustained progress.,Adjusted for churn label low.
SEG_00_PAI_MED,Moderately Active Users,paid,Accomplishment,Ownership,Ownership,Accomplishment,Empowerment,Generated from segment-level behavioral signals.,Build momentum with one step today,Consistent effort creates visible progress,"['Fear/Anxiety', 'Shame/Guilt']",Supports recurring engagement and sustained progress.,Adjusted for churn label medium.
SEG_00_TRI_HIG,Moderately Active Users,trial,Loss Avoidance,Empowerment,Ownership,Encouragement,Empowerment,Generated from segment-level behavioral signals.,Build momentum with one step today,Consistent effort creates visible progress,"['Fear/Anxiety', 'Shame/Guilt']",Supports recurring engagement and sustained progress.,Adjusted for churn label high.
SEG_00_TRI_MED,Moderately Active Users,trial,Empowerment,Accomplishment,Ownership,Empowerment,Empowerment,Generated from segment-level behavioral signals.,Build momentum with one step today,Consistent effort creates visible progress,"['Fear/Anxiety', 'Shame/Guilt']",Supports recurring engagement and sustained progress.,Adjusted for churn label medium.
SEG_01_CHU_CRI,Low Activity Users,churned,Loss Avoidance,Empowerment,Ownership,Encouragement,Empowerment,Generated from segment-level behavioral signals.,Build momentum with one step today,Consistent effort creates visible progress,"['Fear/Anxiety', 'Shame/Guilt']",Supports recurring engagement and sustained progress.,Adjusted for churn label critical.
SEG_01_CHU_HIG,Low Activity Users,churned,Loss Avoidance,Empowerment,Ownership,Encouragement,Empowerment,Generated from segment-level behavioral signals.,Build momentum with one step today,Consistent effort creates visible progress,"['Fear/Anxiety', 'Shame/Guilt']",Supports recurring engagement and sustained progress.,Adjusted for churn label high.
SEG_01_INA_CRI,Low Activity Users,inactive,Loss Avoidance,Empowerment,Ownership,Encouragement,Empowerment,Generated from segment-level behavioral signals.,Build momentum with one step today,Consistent effort creates visible progress,"['Fear/Anxiety', 'Shame/Guilt']",Supports recurring engagement and sustained progress.,Adjusted for churn label critical.
SEG_01_TRI_CRI,Low Activity Users,trial,Loss Avoidance,Empowerment,Ownership,Encouragement,Empowerment,Generated from segment-level behavioral signals.,Build momentum with one step today,Consistent effort creates visible progress,"['Fear/Anxiety', 'Shame/Guilt']",Supports recurring engagement and sustained progress.,Adjusted for churn label critical.
SEG_01_TRI_HIG,Low Activity Users,trial,Loss Avoidance,Empowerment,Ownership,Encouragement,Empowerment,Generated from segment-level behavioral signals.,Build momentum with one step today,Consistent effort creates visible progress,"['Fear/Anxiety', 'Shame/Guilt']",Supports recurring engagement and sustained progress.,Adjusted for churn label high.
