template_id,segment_id,lifecycle_stage,theme,goal,tone,hook_type,feature_reference,progression_stage,en_title,en_body,hi_title,hi_body,channel,cta,prob_GOOD,prob_NEUTRAL,prob_BAD,pred_ctr,pred_engagement_rate,quality_score,primary_window,secondary_window,recommended_window,backup_window,iteration1_action
TMPL_0002,SEG_00_PAI_HIG,paid,Loss Avoidance,daily progress,Encouragement,Loss Avoidance,core feature,engagement,A small step today,Stay steady with core feature and continue daily progress. Try one action and se,आज एक छोटा कदम,core feature का नियमित उपयोग करके daily progress जारी रखें। एक बार आजमाकर अपनी प्रगति देखें।,push,Continue,0.2528593301069328,0.6801273268323224,0.06701334306074484,38.63173136507939,34.69582652380949,2.1054878046814443,afternoon,evening,afternoon,evening,KEEP
TMPL_0005,SEG_00_PAI_HIG,paid,Loss Avoidance,daily progress,Encouragement,Loss Avoidance,core feature,retention,Keep the flow,Stay steady with core feature and continue daily progress. Keep the momentum goi,आगे बढ़ते रहें,core feature का नियमित उपयोग करके daily progress जारी रखें। अपनी रफ्तार आज भी बनाए रखें।,push,Continue,0.3767016371537777,0.4432739568156232,0.18002440603059922,40.1191634603175,36.24421842857141,2.0979277846795377,afternoon,evening,afternoon,evening,KEEP
TMPL_0003,SEG_00_PAI_HIG,paid,Loss Avoidance,daily progress,Encouragement,Loss Avoidance,core feature,habit,Stay on track,Keep your momentum going through core feature. Repeat it today to build consiste,रफ्तार बनाए रखें,core feature आपकी प्रगति की रफ्तार बनाए रख सकता है। इसे आज दोहराकर निरंतरता बनाएं।,push,Continue,0.37202045912832893,0.4476810333671883,0.18029850750448279,39.432487460317475,36.58219671428568,2.0858066798627712,afternoon,evening,afternoon,evening,KEEP
TMPL_0004,SEG_00_PAI_HIG,paid,Loss Avoidance,daily progress,Encouragement,Loss Avoidance,core feature,mastery,You’re doing well,A small step with core feature can support daily progress. Go deeper and improve,आप अच्छा कर रहे हैं,core feature के साथ एक छोटा कदम daily progress में मदद कर सकता है। और बेहतर करने के लिए गहराई से करे,push,Continue,0.369331609267061,0.33693678420814155,0.29373160652479746,36.497720793650814,36.349869079365064,1.8269396756352227,afternoon,evening,afternoon,evening,KEEP
TMPL_0001,SEG_00_PAI_HIG,paid,Loss Avoidance,daily progress,Encouragement,Loss Avoidance,core feature,awareness,Keep going,A small step with core feature can support daily progress. Start by exploring on,जारी रखें,core feature के साथ एक छोटा कदम daily progress में मदद कर सकता है। शुरुआत एक छोटे कदम से करें।,push,Continue,0.19003761171823397,0.5649575293514453,0.24500485893032078,38.599764031746055,32.126595571428545,1.6880565436001809,afternoon,evening,afternoon,evening,KEEP
TMPL_0007,SEG_00_PAI_LOW,paid,Accomplishment,daily progress,Accomplishment,Accomplishment,core feature,engagement,Keep improving,One more step with core feature can strengthen daily progress. Try one action an,आज और बेहतर करें,core feature का एक और उपयोग daily progress को मजबूत बना सकता है। एक बार आजमाकर अपनी प्रगति देखें।,push,Continue,0.766159803470472,0.13547858448849168,0.09836161204103636,42.66692266666665,59.45718242857146,3.1414271649054726,late_afternoon,afternoon,late_afternoon,afternoon,PROMOTE
TMPL_0008,SEG_00_PAI_LOW,paid,Accomplishment,daily progress,Accomplishment,Accomplishment,core feature,habit,Reach your milestone,Build visible progress in daily progress through core feature. Repeat it today t,अपना लक्ष्य बढ़ाएं,core feature से daily progress में स्पष्ट प्रगति बनाएं। इसे आज दोहराकर निरंतरता बनाएं।,push,Continue,0.7611424217630327,0.06027761120889693,0.17857996702807036,42.75958399999999,60.769377761904764,3.028135713053408,late_afternoon,afternoon,late_afternoon,afternoon,PROMOTE
TMPL_0010,SEG_00_PAI_LOW,paid,Accomplishment,daily progress,Accomplishment,Accomplishment,core feature,retention,Grow your results,One more step with core feature can strengthen daily progress. Keep the momentum,अपना सुधार जारी रखें,core feature का एक और उपयोग daily progress को मजबूत बना सकता है। अपनी रफ्तार आज भी बनाए रखें।,push,Continue,0.7640216978346249,0.05910448628673501,0.17687381587863996,42.75978399999998,57.914039333333356,2.9768126775076036,late_afternoon,afternoon,late_afternoon,afternoon,PROMOTE
TMPL_0009,SEG_00_PAI_LOW,paid,Accomplishment,daily progress,Accomplishment,Accomplishment,core feature,mastery,Make today count,Use core feature to improve your results in daily progress. Go deeper and improv,एक कदम और,core feature के साथ daily progress में बेहतर परिणाम पाएं। और बेहतर करने के लिए गहराई से करें।,push,Continue,0.6915469114356884,0.04129631002019888,0.26715677854411285,37.32062714285714,57.0181388571429,2.624155707910697,late_afternoon,afternoon,late_afternoon,afternoon,PROMOTE
TMPL_0006,SEG_00_PAI_LOW,paid,Accomplishment,daily progress,Accomplishment,Accomplishment,core feature,awareness,See your progress,Use core feature to improve your results in daily progress. Start by exploring o,अपनी प्रगति देखें,core feature के साथ daily progress में बेहतर परिणाम पाएं। शुरुआत एक छोटे कदम से करें।,push,Continue,0.5491713242935561,0.10682243340237016,0.34400624230407384,42.33827866666665,57.62747695238098,2.4636758247575834,late_afternoon,afternoon,late_afternoon,afternoon,PROMOTE
