template_id,segment_id,lifecycle_stage,theme,goal,tone,hook_type,feature_reference,progression_stage,en_title,en_body,hi_title,hi_body,channel,cta
TMPL_0001,SEG_00_PAI_HIG,paid,Loss Avoidance,daily progress,Encouragement,Loss Avoidance,core feature,awareness,Keep going,A small step with core feature can support daily progress. Start by exploring on,जारी रखें,core feature के साथ एक छोटा कदम daily progress में मदद कर सकता है। शुरुआत एक छोटे कदम से करें।,push,Continue
TMPL_0002,SEG_00_PAI_HIG,paid,Loss Avoidance,daily progress,Encouragement,Loss Avoidance,core feature,engagement,A small step today,Stay steady with core feature and continue daily progress. Try one action and se,आज एक छोटा कदम,core feature का नियमित उपयोग करके daily progress जारी रखें। एक बार आजमाकर अपनी प्रगति देखें।,push,Continue
TMPL_0003,SEG_00_PAI_HIG,paid,Loss Avoidance,daily progress,Encouragement,Loss Avoidance,core feature,habit,Stay on track,Keep your momentum going through core feature. Repeat it today to build consiste,रफ्तार बनाए रखें,core feature आपकी प्रगति की रफ्तार बनाए रख सकता है। इसे आज दोहराकर निरंतरता बनाएं।,push,Continue
TMPL_0004,SEG_00_PAI_HIG,paid,Loss Avoidance,daily progress,Encouragement,Loss Avoidance,core feature,mastery,You’re doing well,A small step with core feature can support daily progress. Go deeper and improve,आप अच्छा कर रहे हैं,core feature के साथ एक छोटा कदम daily progress में मदद कर सकता है। और बेहतर करने के लिए गहराई से करे,push,Continue
TMPL_0005,SEG_00_PAI_HIG,paid,Loss Avoidance,daily progress,Encouragement,Loss Avoidance,core feature,retention,Keep the flow,Stay steady with core feature and continue daily progress. Keep the momentum goi,आगे बढ़ते रहें,core feature का नियमित उपयोग करके daily progress जारी रखें। अपनी रफ्तार आज भी बनाए रखें।,push,Continue
TMPL_0006,SEG_00_PAI_LOW,paid,Accomplishment,daily progress,Accomplishment,Accomplishment,core feature,awareness,See your progress,Use core feature to improve your results in daily progress. Start by exploring o,अपनी प्रगति देखें,core feature के साथ daily progress में बेहतर परिणाम पाएं। शुरुआत एक छोटे कदम से करें।,push,Continue
TMPL_0007,SEG_00_PAI_LOW,paid,Accomplishment,daily progress,Accomplishment,Accomplishment,core feature,engagement,Keep improving,One more step with core feature can strengthen daily progress. Try one action an,आज और बेहतर करें,core feature का एक और उपयोग daily progress को मजबूत बना सकता है। एक बार आजमाकर अपनी प्रगति देखें।,push,Continue
TMPL_0008,SEG_00_PAI_LOW,paid,Accomplishment,daily progress,Accomplishment,Accomplishment,core feature,habit,Reach your milestone,Build visible progress in daily progress through core feature. Repeat it today t,अपना लक्ष्य बढ़ाएं,core feature से daily progress में स्पष्ट प्रगति बनाएं। इसे आज दोहराकर निरंतरता बनाएं।,push,Continue
TMPL_0009,SEG_00_PAI_LOW,paid,Accomplishment,daily progress,Accomplishment,Accomplishment,core feature,mastery,Make today count,Use core feature to improve your results in daily progress. Go deeper and improv,एक कदम और,core feature के साथ daily progress में बेहतर परिणाम पाएं। और बेहतर करने के लिए गहराई से करें।,push,Continue
TMPL_0010,SEG_00_PAI_LOW,paid,Accomplishment,daily progress,Accomplishment,Accomplishment,core feature,retention,Grow your results,One more step with core feature can strengthen daily progress. Keep the momentum,अपना सुधार जारी रखें,core feature का एक और उपयोग daily progress को मजबूत बना सकता है। अपनी रफ्तार आज भी बनाए रखें।,push,Continue
